year,mask,name,min_historical,min_ssp126,min_ssp245,min_ssp585,mean_historical,mean_ssp126,mean_ssp245,mean_ssp585,median_historical,median_ssp126,median_ssp245,median_ssp585,sd_historical,sd_ssp126,sd_ssp245,sd_ssp585,max_historical,max_ssp126,max_ssp245,max_ssp585
1985,8312,New Caledonia,0.768038429737091,NA,NA,NA,4.561130548318227,NA,NA,NA,4.1439886298179625,NA,NA,NA,2.6339490823263976,NA,NA,NA,8.145074100494385,NA,NA,NA
1986,8312,New Caledonia,0.8681716361045837,NA,NA,NA,4.763838950538635,NA,NA,NA,4.372458173274994,NA,NA,NA,2.7692506155258743,NA,NA,NA,8.64728964138031,NA,NA,NA
1987,8312,New Caledonia,0.99213072681427,NA,NA,NA,5.2191777379433315,NA,NA,NA,5.0531884765625,NA,NA,NA,3.2562753094051318,NA,NA,NA,10.110930155754088,NA,NA,NA
1988,8312,New Caledonia,1.0588975172042847,NA,NA,NA,5.1588237301548325,NA,NA,NA,4.959507223129273,NA,NA,NA,2.9894907851476984,NA,NA,NA,9.467285865306854,NA,NA,NA
1989,8312,New Caledonia,0.9703339929580688,NA,NA,NA,5.395387636780739,NA,NA,NA,5.117902804374695,NA,NA,NA,3.2414252777385943,NA,NA,NA,9.896179676055908,NA,NA,NA
1990,8312,New Caledonia,0.9650683951377867,NA,NA,NA,4.613760246459643,NA,NA,NA,4.097221725940704,NA,NA,NA,2.6382883518702345,NA,NA,NA,8.46570875763893,NA,NA,NA
1991,8312,New Caledonia,0.8470198497772217,NA,NA,NA,4.358629754257202,NA,NA,NA,4.047346608161926,NA,NA,NA,2.442394163136686,NA,NA,NA,8.258309567451477,NA,NA,NA
1992,8312,New Caledonia,0.8083673462867736,NA,NA,NA,4.740703313712279,NA,NA,NA,4.264633524894714,NA,NA,NA,2.7978288552875528,NA,NA,NA,8.49560735297203,NA,NA,NA
1993,8312,New Caledonia,0.7587468495368958,NA,NA,NA,4.76711409564813,NA,NA,NA,4.300498588562012,NA,NA,NA,2.8185205821677513,NA,NA,NA,8.393106904029846,NA,NA,NA
1994,8312,New Caledonia,0.8186306858062744,NA,NA,NA,4.7530222013791406,NA,NA,NA,4.346526168823242,NA,NA,NA,2.792820843590783,NA,NA,NA,8.688754026889802,NA,NA,NA
1995,8312,New Caledonia,0.8679575772285462,NA,NA,NA,5.203550630219778,NA,NA,NA,4.890666130065918,NA,NA,NA,3.1280280161403975,NA,NA,NA,9.36946806192398,NA,NA,NA
1996,8312,New Caledonia,0.9180299658775328,NA,NA,NA,4.779353652091821,NA,NA,NA,4.402680132865906,NA,NA,NA,2.774242961153836,NA,NA,NA,8.9935977268219,NA,NA,NA
1997,8312,New Caledonia,0.934021276950836,NA,NA,NA,4.701234920076529,NA,NA,NA,4.1588305754661565,NA,NA,NA,2.7569384725749146,NA,NA,NA,8.88407002878189,NA,NA,NA
1998,8312,New Caledonia,0.920426950931549,NA,NA,NA,4.548534476077557,NA,NA,NA,4.237588780879975,NA,NA,NA,2.6285725063942156,NA,NA,NA,9.02188299036026,NA,NA,NA
1999,8312,New Caledonia,0.8878112306594849,NA,NA,NA,4.507725118529796,NA,NA,NA,4.052796039581299,NA,NA,NA,2.6186901776070757,NA,NA,NA,8.809412486791611,NA,NA,NA
2000,8312,New Caledonia,0.9300075445175172,NA,NA,NA,4.7280865893999735,NA,NA,NA,4.2532344245910645,NA,NA,NA,3.019032052920585,NA,NA,NA,9.721318552970889,NA,NA,NA
2001,8312,New Caledonia,1.0205699434280395,NA,NA,NA,4.496287088163694,NA,NA,NA,4.130388947963715,NA,NA,NA,2.724659643785208,NA,NA,NA,9.403544400691986,NA,NA,NA
2002,8312,New Caledonia,1.0341258473396302,NA,NA,NA,4.625128086415927,NA,NA,NA,4.463691020011902,NA,NA,NA,2.6773231587442354,NA,NA,NA,9.180417448043825,NA,NA,NA
2003,8312,New Caledonia,0.930945502281189,NA,NA,NA,4.432122315545877,NA,NA,NA,4.218826605796814,NA,NA,NA,2.6429117604206662,NA,NA,NA,8.90993661403656,NA,NA,NA
2004,8312,New Caledonia,0.8584247317314148,NA,NA,NA,4.060074486994743,NA,NA,NA,3.682110978126526,NA,NA,NA,2.300269005643488,NA,NA,NA,8.265308385848998,NA,NA,NA
2005,8312,New Caledonia,0.8158638892173767,NA,NA,NA,4.140891924579939,NA,NA,NA,3.6953332443237303,NA,NA,NA,2.584261290717049,NA,NA,NA,8.708329599857331,NA,NA,NA
2006,8312,New Caledonia,0.9852577786445618,NA,NA,NA,4.6892686265826224,NA,NA,NA,4.436425559997558,NA,NA,NA,3.0067784975421756,NA,NA,NA,9.795892902374268,NA,NA,NA
2007,8312,New Caledonia,1.091469555854797,NA,NA,NA,4.519950824054082,NA,NA,NA,4.044096095561981,NA,NA,NA,2.6188171454467986,NA,NA,NA,8.802374485969544,NA,NA,NA
2008,8312,New Caledonia,0.9592937121391296,NA,NA,NA,4.37955402649641,NA,NA,NA,3.9574178323745723,NA,NA,NA,2.48979223888503,NA,NA,NA,8.483838006258011,NA,NA,NA
2009,8312,New Caledonia,0.863345504283905,NA,NA,NA,4.57615515494744,NA,NA,NA,4.202561244964599,NA,NA,NA,2.7254592802096758,NA,NA,NA,8.915123610973358,NA,NA,NA
