Lon,Lat,mask
143.5,23.5,48980
144.5,23.5,48980
145.5,23.5,48980
146.5,23.5,48980
147.5,23.5,48980
142.5,22.5,48980
143.5,22.5,48980
144.5,22.5,48980
145.5,22.5,48980
146.5,22.5,48980
147.5,22.5,48980
148.5,22.5,48980
141.5,21.5,48980
142.5,21.5,48980
143.5,21.5,48980
144.5,21.5,48980
145.5,21.5,48980
146.5,21.5,48980
147.5,21.5,48980
148.5,21.5,48980
141.5,20.5,48980
142.5,20.5,48980
143.5,20.5,48980
144.5,20.5,48980
145.5,20.5,48980
146.5,20.5,48980
147.5,20.5,48980
148.5,20.5,48980
141.5,19.5,48980
142.5,19.5,48980
143.5,19.5,48980
144.5,19.5,48980
145.5,19.5,48980
146.5,19.5,48980
147.5,19.5,48980
148.5,19.5,48980
149.5,19.5,48980
141.5,18.5,48980
142.5,18.5,48980
143.5,18.5,48980
144.5,18.5,48980
145.5,18.5,48980
146.5,18.5,48980
147.5,18.5,48980
148.5,18.5,48980
149.5,18.5,48980
142.5,17.5,48980
143.5,17.5,48980
144.5,17.5,48980
145.5,17.5,48980
146.5,17.5,48980
147.5,17.5,48980
148.5,17.5,48980
149.5,17.5,48980
167.5,17.5,8318
168.5,17.5,8318
169.5,17.5,8318
170.5,17.5,8318
171.5,17.5,8318
142.5,16.5,48980
143.5,16.5,48980
144.5,16.5,48980
145.5,16.5,48980
146.5,16.5,48980
147.5,16.5,48980
148.5,16.5,48980
149.5,16.5,48980
165.5,16.5,8318
166.5,16.5,8318
167.5,16.5,8318
168.5,16.5,8318
169.5,16.5,8318
170.5,16.5,8318
171.5,16.5,8318
172.5,16.5,8318
141.5,15.5,48957
142.5,15.5,48980
143.5,15.5,48980
144.5,15.5,48980
145.5,15.5,48980
146.5,15.5,48980
147.5,15.5,48980
148.5,15.5,48980
149.5,15.5,48980
161.5,15.5,8318
162.5,15.5,8318
164.5,15.5,8318
165.5,15.5,8318
166.5,15.5,8318
167.5,15.5,8318
168.5,15.5,8318
169.5,15.5,8318
170.5,15.5,8318
171.5,15.5,8318
172.5,15.5,8318
141.5,14.5,48957
142.5,14.5,48957
143.5,14.5,48957
144.5,14.5,48980
145.5,14.5,48980
146.5,14.5,48980
147.5,14.5,48980
148.5,14.5,48980
149.5,14.5,48980
159.5,14.5,8318
160.5,14.5,8318
161.5,14.5,8318
162.5,14.5,8318
163.5,14.5,8318
164.5,14.5,8318
165.5,14.5,8318
166.5,14.5,8318
167.5,14.5,8318
168.5,14.5,8318
169.5,14.5,8318
170.5,14.5,8318
171.5,14.5,8318
172.5,14.5,8318
173.5,14.5,8318
137.5,13.5,8316
138.5,13.5,8316
139.5,13.5,8316
140.5,13.5,8316
141.5,13.5,48957
142.5,13.5,48957
143.5,13.5,48957
144.5,13.5,48957
145.5,13.5,48957
146.5,13.5,48980
147.5,13.5,48980
148.5,13.5,48980
149.5,13.5,48980
