Lon,Lat,mask
143,23,48980
145,23,48980
147,23,48980
149,23,48980
141,21,48980
143,21,48980
145,21,48980
147,21,48980
149,21,48980
141,19,48980
143,19,48980
145,19,48980
147,19,48980
149,19,48980
143,17,48980
145,17,48980
147,17,48980
149,17,48980
165,17,8318
167,17,8318
169,17,8318
171,17,8318
173,17,8318
141,15,48957
143,15,48957
145,15,48980
147,15,48980
149,15,48980
159,15,8318
161,15,8318
163,15,8318
165,15,8318
167,15,8318
169,15,8318
171,15,8318
173,15,8318
135,13,8316
137,13,8316
139,13,8316
141,13,8316
143,13,48957
145,13,48957
147,13,48980
149,13,48957
151,13,8316
153,13,8316
159,13,8318
161,13,8318
163,13,8318
165,13,8318
167,13,8318
169,13,8318
171,13,8318
173,13,8318
131,11,8315
133,11,8315
135,11,8315
137,11,8316
139,11,8316
141,11,8316
143,11,8316
145,11,8316
147,11,8316
149,11,8316
151,11,8316
153,11,8316
155,11,8316
157,11,8318
159,11,8318
161,11,8318
163,11,8318
165,11,8318
167,11,8318
169,11,8318
171,11,8318
173,11,8318
175,11,8318
131,9,8315
133,9,8315
135,9,8315
137,9,8316
139,9,8316
141,9,8316
143,9,8316
145,9,8316
147,9,8316
149,9,8316
151,9,8316
153,9,8316
155,9,8316
157,9,8316
159,9,8318
161,9,8318
163,9,8318
165,9,8318
167,9,8318
169,9,8318
171,9,8318
173,9,8318
175,9,8318
-161,7,8441
-159,7,8441
-157,7,8441
129,7,8315
131,7,8315
133,7,8315
135,7,8315
137,7,8316
139,7,8316
141,7,8316
143,7,8316
145,7,8316
147,7,8316
149,7,8316
151,7,8316
153,7,8316
155,7,8316
157,7,8316
159,7,8316
161,7,8316
163,7,8316
165,7,8318
167,7,8318
169,7,8318
171,7,8318
173,7,8318
175,7,8318
-163,5,8441
-161,5,8441
-159,5,8441
-157,5,8441
-155,5,8441
129,5,8315
131,5,8315
133,5,8315
135,5,8315
137,5,8316
139,5,8316
141,5,8316
143,5,8316
145,5,8316
147,5,8316
149,5,8316
151,5,8316
153,5,8316
155,5,8316
157,5,8316
159,5,8316
161,5,8316
163,5,8316
165,5,8316
167,5,8318
169,5,8318
171,5,8318
173,5,8318
175,5,8488
177,5,8488
-163,3,8441
-161,3,8441
-159,3,8441
-157,3,8441
-155,3,8441
-153,3,8441
129,3,8315
131,3,8315
133,3,8315
135,3,8315
141,3,8316
143,3,8316
145,3,8316
147,3,8316
149,3,8316
151,3,8316
153,3,8316
155,3,8316
157,3,8316
159,3,8316
161,3,8316
163,3,8316
165,3,8316
167,3,8318
169,3,8318
171,3,8488
173,3,8488
175,3,8488
177,3,8488
-173,1,8450
-171,1,8450
-169,1,8450
-163,1,8441
-161,1,8441
-159,1,8441
-157,1,8441
-155,1,8441
-153,1,8441
131,1,8315
133,1,8315
141,1,8324
143,1,8324
145,1,8324
147,1,8324
149,1,8324
151,1,8324
153,1,8316
155,1,8316
157,1,8316
159,1,8316
163,1,8317
165,1,8317
167,1,8317
169,1,8488
171,1,8488
173,1,8488
175,1,8488
177,1,8488
179,1,8488
-179,-1,8488
-175,-1,8450
-173,-1,8450
-171,-1,8450
-169,-1,8450
-167,-1,8450
-159,-1,8441
-157,-1,8441
-155,-1,8441
-153,-1,8441
141,-1,8324
143,-1,8324
145,-1,8324
147,-1,8324
149,-1,8324
151,-1,8324
153,-1,8324
155,-1,8316
157,-1,8316
159,-1,8324
161,-1,8324
163,-1,8317
165,-1,8317
167,-1,8317
169,-1,8488
171,-1,8488
173,-1,8488
175,-1,8488
177,-1,8488
179,-1,8488
-179,-3,8488
-177,-3,8450
-175,-3,8450
-173,-3,8450
-171,-3,8450
-169,-3,8450
-167,-3,8450
-159,-3,8441
-157,-3,8441
-155,-3,8441
-153,-3,8441
-151,-3,8441
141,-3,8324
143,-3,8324
145,-3,8324
147,-3,8324
149,-3,8324
151,-3,8324
153,-3,8324
155,-3,8324
157,-3,8324
159,-3,8324
161,-3,8324
163,-3,8317
165,-3,8317
167,-3,8317
169,-3,8488
171,-3,8488
173,-3,8488
175,-3,8488
177,-3,8488
179,-3,8488
-179,-5,8326
-177,-5,8450
-175,-5,8450
-173,-5,8450
-171,-5,8450
-169,-5,8450
-167,-5,8450
-159,-5,8441
-157,-5,8441
-155,-5,8441
-153,-5,8441
-151,-5,8441
-143,-5,8440
-141,-5,8440
-139,-5,8440
-137,-5,8440
143,-5,8324
145,-5,8324
147,-5,8324
149,-5,8324
151,-5,8324
153,-5,8324
155,-5,8324
157,-5,8324
159,-5,8314
161,-5,8314
163,-5,8314
165,-5,8314
169,-5,8488
171,-5,8488
173,-5,8326
175,-5,8326
177,-5,8326
179,-5,8326
-179,-7,8326
-177,-7,8326
-175,-7,8450
-173,-7,8449
-171,-7,8449
-169,-7,8449
-167,-7,8446
-165,-7,8446
-163,-7,8446
-161,-7,8446
-159,-7,8446
-157,-7,8441
-155,-7,8441
-153,-7,8441
-151,-7,8441
-149,-7,8441
-147,-7,8441
-145,-7,8440
-143,-7,8440
-141,-7,8440
-139,-7,8440
-137,-7,8440
-135,-7,8440
141,-7,8324
143,-7,8324
145,-7,8324
147,-7,8324
149,-7,8324
151,-7,8324
153,-7,8324
155,-7,8324
157,-7,8314
159,-7,8314
161,-7,8314
163,-7,8314
165,-7,8314
167,-7,8314
169,-7,8314
171,-7,8314
173,-7,8326
175,-7,8326
177,-7,8326
179,-7,8326
-179,-9,8326
-177,-9,8326
-175,-9,8449
-173,-9,8449
-171,-9,8449
-169,-9,8449
-167,-9,8446
-165,-9,8446
-163,-9,8446
-161,-9,8446
-159,-9,8446
-157,-9,8446
-155,-9,8446
-153,-9,8441
-151,-9,8441
-149,-9,8441
-147,-9,8441
-145,-9,8440
-143,-9,8440
-141,-9,8440
-139,-9,8440
-137,-9,8440
-135,-9,8440
141,-9,8324
143,-9,8324
145,-9,8324
147,-9,8324
149,-9,8324
151,-9,8324
153,-9,8324
155,-9,8324
157,-9,8314
159,-9,8314
161,-9,8314
163,-9,8314
165,-9,8314
167,-9,8314
169,-9,8314
171,-9,8314
173,-9,8326
175,-9,8326
177,-9,8326
179,-9,8326
-179,-11,8326
-177,-11,8454
-175,-11,8454
-173,-11,8444
-171,-11,8444
-169,-11,8444
-167,-11,8446
-165,-11,8446
-163,-11,8446
-161,-11,8446
-159,-11,8446
-157,-11,8446
-155,-11,8441
-153,-11,8441
-151,-11,8441
-149,-11,8441
-147,-11,8441
-145,-11,8440
-143,-11,8440
-141,-11,8440
-139,-11,8440
-137,-11,8440
-135,-11,8440
139,-11,8324
141,-11,8324
143,-11,9999
145,-11,9999
147,-11,8324
149,-11,8324
151,-11,8324
153,-11,8324
155,-11,8324
157,-11,8314
159,-11,8314
161,-11,8314
163,-11,8314
165,-11,8314
167,-11,8314
169,-11,8314
171,-11,8314
173,-11,8314
175,-11,8325
177,-11,8325
179,-11,8326
-179,-13,8454
-177,-13,8454
-175,-13,8454
-173,-13,8445
-171,-13,8445
-169,-13,8444
-167,-13,8444
-165,-13,8446
-163,-13,8446
-161,-13,8446
-159,-13,8446
-157,-13,8446
-155,-13,8440
-153,-13,8441
-151,-13,8441
-149,-13,8440
-147,-13,8440
-145,-13,8440
-143,-13,8440
-141,-13,8440
-139,-13,8440
-137,-13,8440
-135,-13,8440
143,-13,9999
145,-13,9999
147,-13,8324
149,-13,8324
151,-13,8324
153,-13,8324
155,-13,8324
157,-13,8324
159,-13,8314
161,-13,8314
163,-13,8314
165,-13,8313
167,-13,8313
169,-13,8314
171,-13,8314
173,-13,8314
175,-13,8325
177,-13,8325
179,-13,8325
-179,-15,8325
-177,-15,8454
-175,-15,8448
-173,-15,8448
-171,-15,8444
-169,-15,8444
-167,-15,8444
-165,-15,8446
-163,-15,8446
-161,-15,8446
-159,-15,8446
-157,-15,8440
-155,-15,8440
-153,-15,8440
-151,-15,8440
-149,-15,8440
-147,-15,8440
-145,-15,8440
-143,-15,8440
-141,-15,8440
-139,-15,8440
-137,-15,8440
-135,-15,8440
143,-15,9999
145,-15,9999
147,-15,9999
151,-15,8324
153,-15,8324
155,-15,8324
157,-15,8314
159,-15,8314
161,-15,8314
163,-15,8312
165,-15,8313
167,-15,8313
169,-15,8313
171,-15,8313
173,-15,8314
175,-15,8325
177,-15,8325
179,-15,8325
-179,-17,8325
-177,-17,8325
-175,-17,8448
-173,-17,8448
-171,-17,8447
-169,-17,8447
-167,-17,8444
-165,-17,8446
-163,-17,8446
-161,-17,8446
-159,-17,8446
-157,-17,8440
-155,-17,8440
-153,-17,8440
-151,-17,8440
-149,-17,8440
-147,-17,8440
-145,-17,8440
-143,-17,8440
-141,-17,8440
-139,-17,8440
-137,-17,8440
-135,-17,8440
-133,-17,8440
145,-17,9999
147,-17,9999
157,-17,8312
159,-17,8312
161,-17,8312
163,-17,8312
165,-17,8312
167,-17,8313
169,-17,8313
171,-17,8313
173,-17,8325
175,-17,8325
177,-17,8325
179,-17,8325
-179,-19,8325
-177,-19,8325
-175,-19,8448
-173,-19,8448
-171,-19,8447
-169,-19,8447
-167,-19,8447
-165,-19,8446
-163,-19,8446
-161,-19,8446
-159,-19,8446
-157,-19,8446
-155,-19,8440
-153,-19,8440
-151,-19,8440
-149,-19,8440
-147,-19,8440
-145,-19,8440
-143,-19,8440
-141,-19,8440
-139,-19,8440
-137,-19,8440
-135,-19,8440
-133,-19,8440
147,-19,9999
149,-19,9999
151,-19,9999
157,-19,8312
159,-19,8312
